age,zipcode,gender,salary
1-46,10004,male,10000-100000
1-46,10005,male,10000-100000
46-100,10007,male,10000-100000
46-100,10008,female,10000-100000
46-100,10008,female,10000-100000
46-100,10009,male,10000-100000
1-46,10005,female,10000-100000
46-100,10008,male,10000-100000
46-100,10009,female,10000-100000
46-100,10006,female,10000-100000
1-46,10001,male,10000-100000
46-100,10007,female,10000-100000
1-46,10003,female,10000-100000
46-100,10009,male,10000-100000
1-46,10002,female,10000-100000
1-46,10005,male,10000-100000
46-100,10007,male,10000-100000
1-46,10004,female,10000-100000
1-46,10006,male,10000-100000
1-46,10002,male,10000-100000
1-46,10004,female,10000-100000
1-46,10001,female,10000-100000
1-46,10003,male,10000-100000
46-100,10009,female,10000-100000
1-46,10005,female,10000-100000
46-100,10006,female,10000-100000
46-100,10008,male,10000-100000
1-46,10003,female,10000-100000
46-100,10006,male,10000-100000
1-46,10001,female,10000-100000
1-46,10002,male,10000-100000
1-46,10003,male,10000-100000
1-46,10004,male,10000-100000
46-100,10007,female,10000-100000
1-46,10001,male,10000-100000
1-46,10002,female,10000-100000
